model_id,language,avg_tof,std_tof,base_accuracy,incorrect_proportion,completed_questions
DeepSeek-R1,ca,2.6486486486486487,1.5106149851332022,0.74,0.0,50
DeepSeek-R1,en,2.8947368421052633,1.7440043711348308,0.76,0.0,50
DeepSeek-R1,es,2.625,1.5562374497485916,0.6808510638297872,0.06,50
DeepSeek-V3,ca,2.5806451612903225,1.6018979377980822,0.6326530612244898,0.02,50
DeepSeek-V3,en,2.3333333333333335,1.4907119849998598,0.6,0.0,50
DeepSeek-V3,es,3.0625,1.5995604865087159,0.64,0.0,50
Hermes-3-Llama-3.1-8B,ca,2.6818181818181817,1.8435727082430224,0.4583333333333333,0.04,50
Hermes-3-Llama-3.1-8B,en,2.3548387096774195,1.5770202014942345,0.62,0.0,50
Hermes-3-Llama-3.1-8B,es,1.8181818181818181,1.2297953871335165,0.4583333333333333,0.04,50
Qwen2.5-1.5B-Instruct,ca,1.8,1.6,0.14705882352941177,0.32,50
Qwen2.5-1.5B-Instruct,en,1.8571428571428572,0.9147320339189784,0.30434782608695654,0.08,50
Qwen2.5-1.5B-Instruct,es,1.3846153846153846,0.6249260311258431,0.2653061224489796,0.02,50
Qwen2.5-72B-Instruct,ca,2.696969696969697,1.52722462646717,0.66,0.0,50
Qwen2.5-72B-Instruct,en,3.1666666666666665,1.6072751268321592,0.72,0.0,50
Qwen2.5-72B-Instruct,es,3.1333333333333333,1.687865186822955,0.6122448979591837,0.02,50
Qwen2.5-7B-Instruct,ca,2.272727272727273,1.5130288160993852,0.4888888888888889,0.1,50
Qwen2.5-7B-Instruct,en,2.161290322580645,1.019068967672988,0.62,0.0,50
Qwen2.5-7B-Instruct,es,2.6818181818181817,1.426577711497747,0.4583333333333333,0.04,50
llama-3.1-8b,ca,1.588235294117647,1.2860712417103204,0.3469387755102041,0.02,50
llama-3.1-8b,en,1.3636363636363635,0.9315409787235999,0.4583333333333333,0.04,50
llama-3.1-8b,es,1.736842105263158,1.445213707131156,0.38,0.0,50
